X,Y,OBJECTID,OwnerName,BusinessName,Address,Suite,City,State,Zip,PhoneNumber,BusinessType,LocationX,LocationY
3678691.81679222,530187.70942539,92229,AVITA DRUGS LLC,AVITA DRUGS,2601 TULANE AVE,445,NEW ORLEANS,LA,70119,504-822-8013,1120 - PHARMACIES & DRUG STORES,3678691.8167,530187.70942
3672097.6236158,534783.25043115,92230,AVITA DRUGS LLC,AVITA DRUGS,3308 TULANE AVE,,NEW ORLEANS,LA,70119,,1120 - PHARMACIES & DRUG STORES,3672097.6235,534783.250566
3678375.92962871,539011.057920396,92231,HUNG TRAN PHAT PHARMACY,BROAD AVENUE PHARMACY,1400 N BROAD ST,,NEW ORLEANS,LA,70119,,1120 - PHARMACIES & DRUG STORES,3678375.92955,539011.057866
3698309.62762214,518635.466453806,92232,CARR'S DRUGS INC,CARR'S DRUGS INC,3500 HOLIDAY DR,,NEW ORLEANS,LA,70114-8207,,1120 - PHARMACIES & DRUG STORES,3698309.62736,518635.466231
3661487.98965138,528750.531197399,92233,TERSCO LLC,CASTELLON PHARMACY,8232 OAK ST,,NEW ORLEANS,LA,70118,504-866-3784,1120 - PHARMACIES & DRUG STORES,3661487.98963,528750.531264
3695009.75790955,521091.787984729,92234,"COLISTICS,INC",COLISTICS PHARMACY,3361 GENERAL DE GAULLE DR,STE #A,NEW ORLEANS,LA,70114,,1120 - PHARMACIES & DRUG STORES,3695009.75786,521091.788089
3711111.22242571,559708.436144978,92235,"COMMUNITY CHOICE PHARAMACY, LLC",COMMUNITY CHOICE PHARAMACY,9970 LAKE FOREST BLVD,STE A,NEW ORLEANS,LA,70127,504-957-2336,1120 - PHARMACIES & DRUG STORES,3711111.22251,559708.436061
3661730.17551872,528535.112993062,92236,MBP GROUP LLC,CRESCENT CITY APOTHECARY,8138 OAK ST,,NEW ORLEANS,LA,70118,504-220-6828,1120 - PHARMACIES & DRUG STORES,3661730.17542,528535.113024
3675905.7971018,525339.772598982,92237,"LMF VENTURES, LLC",CRESCENT CITY PHARMACY,2240 SIMON BOLIVAR AVE,STE A,NEW ORLEANS,LA,70113,504-267-4100,1120 - PHARMACIES & DRUG STORES,3675905.79713,525339.772413
3686025.63152088,557474.041663647,92238,"LOUISIANA CVS PHARMACY, L.L.C.",CVS  PHARMACY # 8266,2585 LEON C SIMON DR,,NEW ORLEANS,LA,70122,401-765-1500,1120 - PHARMACIES & DRUG STORES,3686025.63145,557474.041435
3684716.63118614,538228.00994581,92239,"LOUISIANA CVS PHARMACY,LLC",CVS PHARMACY #10483,1600 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70117,,1120 - PHARMACIES & DRUG STORES,3684716.63125,538228.009865
3683130.68521105,531874.971470818,92240,LOUISIANA CVS PHARMACY LLC,CVS PHARMACY #2728,620 DECATUR ST,,NEW ORLEANS,LA,70130,,1120 - PHARMACIES & DRUG STORES,3683130.68514,531874.971523
3667976.38743572,535091.40532665,92241,LOUISIANA CVS PHARMACY LLC,CVS PHARMACY #3730,3700 S CARROLLTON AVE,,NEW ORLEANS,LA,70118,,1120 - PHARMACIES & DRUG STORES,3667976.38733,535091.405126
3674858.20798963,519676.609056562,92242,LOUISIANA CVS PHARMACY LLC,CVS/ PHARMACY #10058,1116 LOUISIANA AVE,,NEW ORLEANS,LA,70115,,1120 - PHARMACIES & DRUG STORES,3674858.20776,519676.609144
3678691.81679222,530187.70942539,92243,LOUISIANA CVS PHARMACY LLC,CVS/ PHARMACY #763,800-B CANAL ST,,NEW ORLEANS,LA,70112,,1120 - PHARMACIES & DRUG STORES,3678691.8167,530187.70942
3710244.30913331,560921.57315439,92244,"LOUISIANA CVS PHARMACY, LLC",CVS/PHARMACY # 10108,5902 READ BLVD,,NEW ORLEANS,LA,70112,,1120 - PHARMACIES & DRUG STORES,3710244.30904,560921.573022
3696594.14122371,520261.591154307,92245,"LOUISIANA CVS PHARMACY, LLC",CVS/PHARMACY #05387,3621 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70131,,1120 - PHARMACIES & DRUG STORES,3696594.14115,520261.59116
3679540.74094738,528908.080751061,92246,LOUISIANA CVS PHARMACY LLC,CVS/PHARMACY #10559,939 GIROD ST,STE:160,NEW ORLEANS,LA,70113,,1120 - PHARMACIES & DRUG STORES,3679540.74101,528908.080576
3672388.13747047,539543.875096232,92247,LOUISIANA CVS PHARMACY  LLC,CVS/PHARMACY #10594,500 N CARROLLTON AVE,,NEW ORLEANS,LA,70119,,1120 - PHARMACIES & DRUG STORES,3672388.13723,539543.875082
3668873.60480139,520272.554715067,92248,LOUISIANA CVS PHARMACY LLC,CVS/PHARMACY #5503,4901 PRYTANIA ST,,NEW ORLEANS,LA,70115,504-891-6307,1120 - PHARMACIES & DRUG STORES,3668873.60481,520272.554872
3726747.17671806,557300.584989563,92249,DR G H TICHENOR ANTISEPT,DR G H TICHENOR ANTISEPTIC CO,4200 W POCHE CT,,NEW ORLEANS,LA,70129,504-588-9131,1120 - PHARMACIES & DRUG STORES,3726747.1767,557300.584923
3681749.01080905,536113.979396984,92250,"IDEAL PHARMACY CARE, INC",ESPLANADE FOOD STORE,1400 ESPLANADE AVE,,NEW ORLEANS,LA,70116,504-523-5910,1120 - PHARMACIES & DRUG STORES,3681749.01077,536113.979271
3686473.07616405,556098.021449804,92251,"FRANKLIN AVENUE PHARMACY, INC",FRANKLIN AVENUE PHARMACY,6201 FRANKLIN AVE,,NEW ORLEANS,LA,70122,504-309-0083,1120 - PHARMACIES & DRUG STORES,3686473.07625,556098.021274
3660465.08060797,527356.222962394,92252,"HEALTH & LIFE, INC",H & L PHARMACY,8200 HAMPSON ST,,NEW ORLEANS,LA,70118,504-309-4950,0125 - DRUGS & DRUGGISTS' SUNDRIES WHLSRS,3660465.08077,527356.223039
3703716.62763488,560583.926848054,92253,"H & W DRUG STORE, INC.",H & W DRUG STORE,7240 CROWDER BLVD,STE. 101,NEW ORLEANS,LA,70127,504-244-3784,1120 - PHARMACIES & DRUG STORES,3703716.62775,560583.926878
3682222.70080656,537583.267468899,92254,H & W DRUG STORE #4,H & W DRUG STORE #4,1522 ST BERNARD AVE,,NEW ORLEANS,LA,70116,,1120 - PHARMACIES & DRUG STORES,3682222.70088,537583.267464
3682006.9325373,521971.240622148,92255,"H&W DRUG STORE 3,LLC",H&W DRUG STORE 3,1667 TCHOUPITOULAS ST,B,NEW ORLEANS,LA,70115,,1120 - PHARMACIES & DRUG STORES,3682006.93237,521971.240378
3730520.44607438,561763.642336398,92256,KEN'S PHARMACY INC,KEN'S PHARMACY,4626 ALCEE FORTIER BLVD,C,NEW ORLEANS,LA,70129,504-254-4553,1120 - PHARMACIES & DRUG STORES,3730520.44608,561763.642143
3670676.27311206,524794.229398727,92257,"LA PETITE PHARMACY, LLC",LA PETITE PHARMACY,4321 MAGNOLIA ST,,NEW ORLEANS,LA,70115,,1120 - PHARMACIES & DRUG STORES,3670676.27303,524794.229308
3690783.32705797,535668.087572232,92258,"CBJ VENTURES, LLC",MED PRO PHARMACY,3601 ST CLAUDE AVE,,NEW ORLEANS,LA,70117,504-234-1056,1120 - PHARMACIES & DRUG STORES,3690783.32688,535668.087494
3673710.20109931,526917.390834808,92259,MEDICINE PRO LLC,MED-PRO PHARMACY,2600 S CLAIBORNE AVE,,NEW ORLEANS,LA,70125,504-309-9223,1120 - PHARMACIES & DRUG STORES,3673710.2011,526917.390654
3725366.81136855,559855.355470568,92260,"VOTRAN RX,LLC",MICHOUD PHARMACY,4646 MICHOUD BLVD,STE #D5,NEW ORLEANS,LA,70129,,1120 - PHARMACIES & DRUG STORES,3725366.81145,559855.355485
3670304.62556139,525274.278963566,92261,"OCHSNER PHARMACY & WELLNESS, LLC",OCHSNER PHARMACY-BAPTIST,2820 NAPOLEON AVE,#220,NEW ORLEANS,LA,70115,,1120 - PHARMACIES & DRUG STORES,3670304.62554,525274.278781
3678704.43815805,555093.575952142,92262,OPW PHARMACY-LAKE TERRACE,OPW PHARMACY-LAKE TERRACE,1532 ROBERT E LEE BLVD,,NEW ORLEANS,LA,70122,,1120 - PHARMACIES & DRUG STORES,3678704.43829,555093.575897
3695022.50099431,557551.156338811,92263,PROFESSIONAL SERVICE PHARMACY LLC,PROFESSIONAL SERVICE PHARMACY LLC,7313 DOWNMAN RD,,NEW ORLEANS,LA,70126,,1120 - PHARMACIES & DRUG STORES,3695022.50096,557551.156251
3683441.34666322,533660.228727058,92264,"TUSA, CHAS H",ROYAL PHARMACY,1101 ROYAL ST,,NEW ORLEANS,LA,70116,,1120 - PHARMACIES & DRUG STORES,3683441.34671,533660.228549
3730703.30266406,561796.301063731,92265,"AN CUONG,LLC",TIEN'S PHARMACY,4623 ALCEE FORTIER BLVD,,NEW ORLEANS,LA,70129,504-254-4606,1120 - PHARMACIES & DRUG STORES,3730703.30266,561796.300959
3678753.76122214,531400.515726805,92266,"TULANE PHARMACY,LLC",TULANE PHARMACY,1430 TULANE AVE,STE #1502,NEW ORLEANS,LA,70112,,1120 - PHARMACIES & DRUG STORES,3678753.76098,531400.515715
3665571.06875555,518961.079647735,92267,MICHAEL P KULLMAN INC,UPTOWN DELIVERY PHARMACY,741 NASHVILLE AVE,,NEW ORLEANS,LA,70115,504-897-0141,1120 - PHARMACIES & DRUG STORES,3665571.06874,518961.079479
3669127.11315264,549118.469135985,92268,"WALGREEN LOUISIANA CO., INC.",WALGREEN  #17089,760 HARRISON AVE,,NEW ORLEANS,LA,70124,,1120 - PHARMACIES & DRUG STORES,3669127.11316,549118.469139
3704989.80815938,558099.921973556,92269,"WALGREEN  LOUISIANA CO., INC.",WALGREEN #16312,5702 CROWDER BLVD,,NEW ORLEANS,LA,70127,,1120 - PHARMACIES & DRUG STORES,3704989.80811,558099.921883
3679946.17386355,530891.415038973,92270,WALGREENS LOUISIANA CO INC,WALGREENS,925 COMMON ST,SUITE A,NEW ORLEANS,LA,70112,847-527-4678,1120 - PHARMACIES & DRUG STORES,3679946.17397,530891.414786
3666268.01978947,518820.903418899,92271,"WALGREENS LOUISIANA CO, INC",WALGREENS  #15199,5518 MAGAZINE ST,,NEW ORLEANS,LA,70115,,1120 - PHARMACIES & DRUG STORES,3666268.01991,518820.903415
3684785.76424997,536405.767855391,92272,"WALGREENS LOUISIANA CO., INC.",WALGREENS #02262,1100 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70117,,1120 - PHARMACIES & DRUG STORES,3684785.76418,536405.767751
3675621.75600322,519948.272555232,92273,"WALGREENS LOUISIANA CO., INC.",WALGREENS #02640,3227 MAGAZINE ST,,NEW ORLEANS,LA,70115,,1120 - PHARMACIES & DRUG STORES,3675621.75611,519948.272376
3690386.55062056,549170.992981061,92274,"WALGREENS LOUISIANA CO., INC.",WALGREENS #03024,4200 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70126,847-527-4678,1120 - PHARMACIES & DRUG STORES,3690386.55062,549170.992787
3680145.37392446,541291.705590054,92275,WALGREENS LOUISIANA CO,WALGREENS #03139,1826 N BROAD ST,,NEW ORLEANS,LA,70119,847-527-4678,1120 - PHARMACIES & DRUG STORES,3680145.37403,541291.70574
3683605.97100589,555974.067957565,92276,"WALGREENS LOUISIANA CO., INC.",WALGREENS #03558,6201 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70122,,1120 - PHARMACIES & DRUG STORES,3683605.97116,555974.068121
3698862.38045363,519373.020096809,92277,"WALGREENS LOUISIANA CO., INC.",WALGREENS #03889,4110 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70131,847-527-4678,1120 - PHARMACIES & DRUG STORES,3698862.38052,519373.020087
3680496.48805164,531077.842487648,92278,WALGREEN LOUISIANA CO IN,WALGREENS #04305,900 CANAL ST,,NEW ORLEANS,LA,70112,,1120 - PHARMACIES & DRUG STORES,3680496.48795,531077.842498
3709079.45581996,563995.224487394,92279,"WALGREEN LOUISIANA CO., INC",WALGREENS #04982,7401 READ BLVD,,NEW ORLEANS,LA,70127,847-527-4678,1120 - PHARMACIES & DRUG STORES,3709079.45572,563995.224545
3678486.06097014,524521.537358806,92280,WALGREENS LOUISIANA CO INC.,WALGREENS #05040,1801 ST CHARLES AVE,,NEW ORLEANS,LA,70130,,1120 - PHARMACIES & DRUG STORES,3678486.06101,524521.537532
3716618.45648997,562213.001345813,92281,"WALGREENS LOUISIANA CO., INC.",WALGREENS #05358,11297 LAKE FOREST BLVD,,NEW ORLEANS,LA,70128,,1120 - PHARMACIES & DRUG STORES,3716618.45644,562213.001247
3682989.64448264,531932.363416389,92282,"WALGREENS LOUISIANA CO., INC.",WALGREENS #05551,619 DECATUR ST,,NEW ORLEANS,LA,70130,,1120 - PHARMACIES & DRUG STORES,3682989.6445,531932.363395
3664932.39483605,531668.372802645,92283,"WALGREENS LOUISIANA CO., INC",WALGREENS #05866,2418 S CARROLLTON AVE,,NEW ORLEANS,LA,70118,847-527-4678,1120 - PHARMACIES & DRUG STORES,3664932.39469,531668.372803
3678691.81679222,530187.70942539,92284,"WALGREENS LOUISIANA CO., INC.",WALGREENS #09063,134 ROYAL ST,,NEW ORLEANS,LA,70130,847-527-4678,1120 - PHARMACIES & DRUG STORES,3678691.8167,530187.70942
3671413.22176939,538329.149507314,92285,"WALGREEN LOUISIANA CO., INC.",WALGREENS #10316,4001 CANAL ST,,NEW ORLEANS,LA,70119,,1120 - PHARMACIES & DRUG STORES,3671413.22164,538329.149385
3684290.05723614,547632.577422723,92286,"WALGREENS LOUISIANA CO., INC.",WALGREENS #11414,3216 GENTILLY BLVD,,NEW ORLEANS,LA,70122,,1120 - PHARMACIES & DRUG STORES,3684290.0573,547632.577234
3667078.52308972,555294.448581889,92287,"WALGREEN LOUISIANA CO., INC.",WALGREENS #11496,101 ROBERT E LEE BLVD,,NEW ORLEANS,LA,70124,847-527-4678,1120 - PHARMACIES & DRUG STORES,3667078.52308,555294.448409
3678983.77880672,531479.673704982,92288,WALGREEN LOUISIANA CO. INC,WALGREENS #13777,1415 TULANE AVE,STE 2CW07,NEW ORLEANS,LA,70112,,1120 - PHARMACIES & DRUG STORES,3678983.77896,531479.673603
3680951.89396498,530998.39579615,92289,"WALGREEN LOUISIANA CO, INC.",WALGREENS #15615,801 CANAL ST,,NEW ORLEANS,LA,70112,,1120 - PHARMACIES & DRUG STORES,3680951.89391,530998.395906
3678691.81679222,530187.70942539,92290,"WALGREENS LOUISIANA CO., INC",WALGREENS #16309,300 WILMOT ST,MS3301,NEW ORLEANS,LA,70115,,1120 - PHARMACIES & DRUG STORES,3678691.8167,530187.70942
3677244.26456922,533337.961326972,92291,"WALGREENS LOUISIANA CO., INC",WALGREENS #16395,2000 CANAL ST,SUITE G1-1200,NEW ORLEANS,LA,70112,,1120 - PHARMACIES & DRUG STORES,3677244.2644,533337.961476
3660935.42809246,527257.895403147,92292,WALGREEN #4450,WALGREENS #4450,718 S CARROLLTON AVE,,NEW ORLEANS,LA,70118,847-527-4678,1120 - PHARMACIES & DRUG STORES,3660935.42803,527257.895231
3670231.31665288,525685.574400812,92293,"WALGREEN LOUISIANA CO, INC.",WALGREENS #4451,4400 S CLAIBORNE AVE,,NEW ORLEANS,LA,70125,,1120 - PHARMACIES & DRUG STORES,3670231.31655,525685.574333
